file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/utils/comparator/__test__/Comparator.test.js,Conditional Test Logic,"{'line': 27, 'column': 6, 'index': 1178}","  25 |   it('should compare with custom comparator function', () => {
  44 |     expect(comparator.equal('a', '')).toBe(false);
> 45 |     expect(comparator.lessThan('b', 'aa')).toBe(false);
     |    ^ Duplicate Assert
  46 |     expect(comparator.greaterThanOrEqual('a', 'aa')).toBe(true);
  47 |     expect(comparator.greaterThanOrEqual('aa', 'a')).toBe(false);
  48 |     expect(comparator.greaterThanOrEqual('a', 'a')).toBe(true);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/utils/comparator/__test__/Comparator.test.js,Duplicate Assert,"{'line': 46, 'column': 4, 'index': 1828}","  44 |     expect(comparator.equal('a', '')).toBe(false);
  45 |     expect(comparator.lessThan('b', 'aa')).toBe(false);
> 46 |     expect(comparator.greaterThanOrEqual('a', 'aa')).toBe(true);
     |    ^ Duplicate Assert
  47 |     expect(comparator.greaterThanOrEqual('aa', 'a')).toBe(false);
  48 |     expect(comparator.greaterThanOrEqual('a', 'a')).toBe(true);
  49 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/utils/comparator/__test__/Comparator.test.js,Duplicate Assert,"{'line': 47, 'column': 4, 'index': 1893}","  45 |     expect(comparator.lessThan('b', 'aa')).toBe(false);
  46 |     expect(comparator.greaterThanOrEqual('a', 'aa')).toBe(true);
> 47 |     expect(comparator.greaterThanOrEqual('aa', 'a')).toBe(false);
     |    ^ Duplicate Assert
  48 |     expect(comparator.greaterThanOrEqual('a', 'a')).toBe(true);
  49 |   });
  50 | });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/utils/comparator/__test__/Comparator.test.js,Duplicate Assert,"{'line': 48, 'column': 4, 'index': 1959}","  46 |     expect(comparator.greaterThanOrEqual('a', 'aa')).toBe(true);
  47 |     expect(comparator.greaterThanOrEqual('aa', 'a')).toBe(false);
> 48 |     expect(comparator.greaterThanOrEqual('a', 'a')).toBe(true);
     |    ^ Duplicate Assert
  49 |   });
  50 | });
  51 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/utils/comparator/__test__/Comparator.test.js,Duplicate Assert,"{'line': 48, 'column': 4, 'index': 1959}","  46 |     expect(comparator.greaterThanOrEqual('a', 'aa')).toBe(true);
  47 |     expect(comparator.greaterThanOrEqual('aa', 'a')).toBe(false);
> 48 |     expect(comparator.greaterThanOrEqual('a', 'a')).toBe(true);
     |    ^ Duplicate Assert
  49 |   });
  50 | });
  51 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/playground/__test__/playground.test.js,Magic Number,"{'line': 6, 'column': 30, 'index': 220}","  4 |   it('should return correct results', () => {
  5 |     // Replace the next dummy test with your playground function tests.
> 6 |     expect(playground()).toBe(120);
    |                              ^ Magic Number
  7 |   });
  8 | });
  9 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/TrieNode.test.js,Duplicate Assert,"{'line': 36, 'column': 4, 'index': 952}","  34 |     const trieNode = new TrieNode('c');
  35 |
> 36 |     expect(trieNode.hasChildren()).toBe(false);
     |    ^ Duplicate Assert
  37 |
  38 |     trieNode.addChild('a');
  39 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/TrieNode.test.js,Duplicate Assert,"{'line': 40, 'column': 4, 'index': 1030}","  38 |     trieNode.addChild('a');
  39 |
> 40 |     expect(trieNode.hasChildren()).toBe(true);
     |    ^ Duplicate Assert
  41 |   });
  42 |
  43 |   it('should check if node has specific child', () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/TrieNode.test.js,Duplicate Assert,"{'line': 66, 'column': 4, 'index': 1740}","  64 |     const trieNode = new TrieNode('c');
  65 |     trieNode.addChild('a');
> 66 |     expect(trieNode.hasChild('a')).toBe(true);
     |    ^ Duplicate Assert
  67 |
  68 |     trieNode.removeChild('a');
  69 |     expect(trieNode.hasChild('a')).toBe(false);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/TrieNode.test.js,Duplicate Assert,"{'line': 69, 'column': 4, 'index': 1819}","  67 |
  68 |     trieNode.removeChild('a');
> 69 |     expect(trieNode.hasChild('a')).toBe(false);
     |    ^ Duplicate Assert
  70 |   });
  71 |
  72 |   it('should NOT delete child node if the child node has children', () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 16, 'column': 4, 'index': 303}","  14 |     trie.addWord('cat');
  15 |
> 16 |     expect(trie.head.toString()).toBe('*:c');
     |    ^ Duplicate Assert
  17 |     expect(trie.head.getChild('c').toString()).toBe('c:a');
  18 |
  19 |     trie.addWord('car');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 16, 'column': 4, 'index': 303}","  14 |     trie.addWord('cat');
  15 |
> 16 |     expect(trie.head.toString()).toBe('*:c');
     |    ^ Duplicate Assert
  17 |     expect(trie.head.getChild('c').toString()).toBe('c:a');
  18 |
  19 |     trie.addWord('car');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 17, 'column': 4, 'index': 349}","  15 |
  16 |     expect(trie.head.toString()).toBe('*:c');
> 17 |     expect(trie.head.getChild('c').toString()).toBe('c:a');
     |    ^ Duplicate Assert
  18 |
  19 |     trie.addWord('car');
  20 |     expect(trie.head.toString()).toBe('*:c');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 17, 'column': 4, 'index': 349}","  15 |
  16 |     expect(trie.head.toString()).toBe('*:c');
> 17 |     expect(trie.head.getChild('c').toString()).toBe('c:a');
     |    ^ Duplicate Assert
  18 |
  19 |     trie.addWord('car');
  20 |     expect(trie.head.toString()).toBe('*:c');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 20, 'column': 4, 'index': 435}","  18 |
  19 |     trie.addWord('car');
> 20 |     expect(trie.head.toString()).toBe('*:c');
     |    ^ Duplicate Assert
  21 |     expect(trie.head.getChild('c').toString()).toBe('c:a');
  22 |     expect(trie.head.getChild('c').getChild('a').toString()).toBe('a:t,r');
  23 |     expect(trie.head.getChild('c').getChild('a').getChild('t').toString()).toBe('t*');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 20, 'column': 4, 'index': 435}","  18 |
  19 |     trie.addWord('car');
> 20 |     expect(trie.head.toString()).toBe('*:c');
     |    ^ Duplicate Assert
  21 |     expect(trie.head.getChild('c').toString()).toBe('c:a');
  22 |     expect(trie.head.getChild('c').getChild('a').toString()).toBe('a:t,r');
  23 |     expect(trie.head.getChild('c').getChild('a').getChild('t').toString()).toBe('t*');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 21, 'column': 4, 'index': 481}","  19 |     trie.addWord('car');
  20 |     expect(trie.head.toString()).toBe('*:c');
> 21 |     expect(trie.head.getChild('c').toString()).toBe('c:a');
     |    ^ Duplicate Assert
  22 |     expect(trie.head.getChild('c').getChild('a').toString()).toBe('a:t,r');
  23 |     expect(trie.head.getChild('c').getChild('a').getChild('t').toString()).toBe('t*');
  24 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 21, 'column': 4, 'index': 481}","  19 |     trie.addWord('car');
  20 |     expect(trie.head.toString()).toBe('*:c');
> 21 |     expect(trie.head.getChild('c').toString()).toBe('c:a');
     |    ^ Duplicate Assert
  22 |     expect(trie.head.getChild('c').getChild('a').toString()).toBe('a:t,r');
  23 |     expect(trie.head.getChild('c').getChild('a').getChild('t').toString()).toBe('t*');
  24 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 33, 'column': 4, 'index': 891}","  31 |     trie.addWord('cat');
  32 |     trie.addWord('cart');
> 33 |     expect(trie.doesWordExist('carpet')).toBe(true);
     |    ^ Duplicate Assert
  34 |     expect(trie.doesWordExist('car')).toBe(true);
  35 |     expect(trie.doesWordExist('cart')).toBe(true);
  36 |     expect(trie.doesWordExist('cat')).toBe(true);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 33, 'column': 4, 'index': 891}","  31 |     trie.addWord('cat');
  32 |     trie.addWord('cart');
> 33 |     expect(trie.doesWordExist('carpet')).toBe(true);
     |    ^ Duplicate Assert
  34 |     expect(trie.doesWordExist('car')).toBe(true);
  35 |     expect(trie.doesWordExist('cart')).toBe(true);
  36 |     expect(trie.doesWordExist('cat')).toBe(true);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 34, 'column': 4, 'index': 944}","  32 |     trie.addWord('cart');
  33 |     expect(trie.doesWordExist('carpet')).toBe(true);
> 34 |     expect(trie.doesWordExist('car')).toBe(true);
     |    ^ Duplicate Assert
  35 |     expect(trie.doesWordExist('cart')).toBe(true);
  36 |     expect(trie.doesWordExist('cat')).toBe(true);
  37 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 34, 'column': 4, 'index': 944}","  32 |     trie.addWord('cart');
  33 |     expect(trie.doesWordExist('carpet')).toBe(true);
> 34 |     expect(trie.doesWordExist('car')).toBe(true);
     |    ^ Duplicate Assert
  35 |     expect(trie.doesWordExist('cart')).toBe(true);
  36 |     expect(trie.doesWordExist('cat')).toBe(true);
  37 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 35, 'column': 4, 'index': 994}","  33 |     expect(trie.doesWordExist('carpet')).toBe(true);
  34 |     expect(trie.doesWordExist('car')).toBe(true);
> 35 |     expect(trie.doesWordExist('cart')).toBe(true);
     |    ^ Duplicate Assert
  36 |     expect(trie.doesWordExist('cat')).toBe(true);
  37 |
  38 |     // Try to delete not-existing word first."
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 35, 'column': 4, 'index': 994}","  33 |     expect(trie.doesWordExist('carpet')).toBe(true);
  34 |     expect(trie.doesWordExist('car')).toBe(true);
> 35 |     expect(trie.doesWordExist('cart')).toBe(true);
     |    ^ Duplicate Assert
  36 |     expect(trie.doesWordExist('cat')).toBe(true);
  37 |
  38 |     // Try to delete not-existing word first."
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 36, 'column': 4, 'index': 1045}","  34 |     expect(trie.doesWordExist('car')).toBe(true);
  35 |     expect(trie.doesWordExist('cart')).toBe(true);
> 36 |     expect(trie.doesWordExist('cat')).toBe(true);
     |    ^ Duplicate Assert
  37 |
  38 |     // Try to delete not-existing word first.
  39 |     trie.deleteWord('carpool');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 36, 'column': 4, 'index': 1045}","  34 |     expect(trie.doesWordExist('car')).toBe(true);
  35 |     expect(trie.doesWordExist('cart')).toBe(true);
> 36 |     expect(trie.doesWordExist('cat')).toBe(true);
     |    ^ Duplicate Assert
  37 |
  38 |     // Try to delete not-existing word first.
  39 |     trie.deleteWord('carpool');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 40, 'column': 4, 'index': 1174}","  38 |     // Try to delete not-existing word first.
  39 |     trie.deleteWord('carpool');
> 40 |     expect(trie.doesWordExist('carpet')).toBe(true);
     |    ^ Duplicate Assert
  41 |     expect(trie.doesWordExist('car')).toBe(true);
  42 |     expect(trie.doesWordExist('cart')).toBe(true);
  43 |     expect(trie.doesWordExist('cat')).toBe(true);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 40, 'column': 4, 'index': 1174}","  38 |     // Try to delete not-existing word first.
  39 |     trie.deleteWord('carpool');
> 40 |     expect(trie.doesWordExist('carpet')).toBe(true);
     |    ^ Duplicate Assert
  41 |     expect(trie.doesWordExist('car')).toBe(true);
  42 |     expect(trie.doesWordExist('cart')).toBe(true);
  43 |     expect(trie.doesWordExist('cat')).toBe(true);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 41, 'column': 4, 'index': 1227}","  39 |     trie.deleteWord('carpool');
  40 |     expect(trie.doesWordExist('carpet')).toBe(true);
> 41 |     expect(trie.doesWordExist('car')).toBe(true);
     |    ^ Duplicate Assert
  42 |     expect(trie.doesWordExist('cart')).toBe(true);
  43 |     expect(trie.doesWordExist('cat')).toBe(true);
  44 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 41, 'column': 4, 'index': 1227}","  39 |     trie.deleteWord('carpool');
  40 |     expect(trie.doesWordExist('carpet')).toBe(true);
> 41 |     expect(trie.doesWordExist('car')).toBe(true);
     |    ^ Duplicate Assert
  42 |     expect(trie.doesWordExist('cart')).toBe(true);
  43 |     expect(trie.doesWordExist('cat')).toBe(true);
  44 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 42, 'column': 4, 'index': 1277}","  40 |     expect(trie.doesWordExist('carpet')).toBe(true);
  41 |     expect(trie.doesWordExist('car')).toBe(true);
> 42 |     expect(trie.doesWordExist('cart')).toBe(true);
     |    ^ Duplicate Assert
  43 |     expect(trie.doesWordExist('cat')).toBe(true);
  44 |
  45 |     trie.deleteWord('carpet');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 42, 'column': 4, 'index': 1277}","  40 |     expect(trie.doesWordExist('carpet')).toBe(true);
  41 |     expect(trie.doesWordExist('car')).toBe(true);
> 42 |     expect(trie.doesWordExist('cart')).toBe(true);
     |    ^ Duplicate Assert
  43 |     expect(trie.doesWordExist('cat')).toBe(true);
  44 |
  45 |     trie.deleteWord('carpet');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 43, 'column': 4, 'index': 1328}","  41 |     expect(trie.doesWordExist('car')).toBe(true);
  42 |     expect(trie.doesWordExist('cart')).toBe(true);
> 43 |     expect(trie.doesWordExist('cat')).toBe(true);
     |    ^ Duplicate Assert
  44 |
  45 |     trie.deleteWord('carpet');
  46 |     expect(trie.doesWordExist('carpet')).toEqual(false);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 43, 'column': 4, 'index': 1328}","  41 |     expect(trie.doesWordExist('car')).toBe(true);
  42 |     expect(trie.doesWordExist('cart')).toBe(true);
> 43 |     expect(trie.doesWordExist('cat')).toBe(true);
     |    ^ Duplicate Assert
  44 |
  45 |     trie.deleteWord('carpet');
  46 |     expect(trie.doesWordExist('carpet')).toEqual(false);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 46, 'column': 4, 'index': 1410}","  44 |
  45 |     trie.deleteWord('carpet');
> 46 |     expect(trie.doesWordExist('carpet')).toEqual(false);
     |    ^ Duplicate Assert
  47 |     expect(trie.doesWordExist('car')).toEqual(true);
  48 |     expect(trie.doesWordExist('cart')).toBe(true);
  49 |     expect(trie.doesWordExist('cat')).toBe(true);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 47, 'column': 4, 'index': 1467}","  45 |     trie.deleteWord('carpet');
  46 |     expect(trie.doesWordExist('carpet')).toEqual(false);
> 47 |     expect(trie.doesWordExist('car')).toEqual(true);
     |    ^ Duplicate Assert
  48 |     expect(trie.doesWordExist('cart')).toBe(true);
  49 |     expect(trie.doesWordExist('cat')).toBe(true);
  50 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 47, 'column': 4, 'index': 1467}","  45 |     trie.deleteWord('carpet');
  46 |     expect(trie.doesWordExist('carpet')).toEqual(false);
> 47 |     expect(trie.doesWordExist('car')).toEqual(true);
     |    ^ Duplicate Assert
  48 |     expect(trie.doesWordExist('cart')).toBe(true);
  49 |     expect(trie.doesWordExist('cat')).toBe(true);
  50 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 48, 'column': 4, 'index': 1520}","  46 |     expect(trie.doesWordExist('carpet')).toEqual(false);
  47 |     expect(trie.doesWordExist('car')).toEqual(true);
> 48 |     expect(trie.doesWordExist('cart')).toBe(true);
     |    ^ Duplicate Assert
  49 |     expect(trie.doesWordExist('cat')).toBe(true);
  50 |
  51 |     trie.deleteWord('cat');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 48, 'column': 4, 'index': 1520}","  46 |     expect(trie.doesWordExist('carpet')).toEqual(false);
  47 |     expect(trie.doesWordExist('car')).toEqual(true);
> 48 |     expect(trie.doesWordExist('cart')).toBe(true);
     |    ^ Duplicate Assert
  49 |     expect(trie.doesWordExist('cat')).toBe(true);
  50 |
  51 |     trie.deleteWord('cat');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 49, 'column': 4, 'index': 1571}","  47 |     expect(trie.doesWordExist('car')).toEqual(true);
  48 |     expect(trie.doesWordExist('cart')).toBe(true);
> 49 |     expect(trie.doesWordExist('cat')).toBe(true);
     |    ^ Duplicate Assert
  50 |
  51 |     trie.deleteWord('cat');
  52 |     expect(trie.doesWordExist('car')).toEqual(true);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/javascript-algorithms/src/data-structures/trie/__test__/Trie.test.js,Duplicate Assert,"{'line': 49, 'column': 4, 'index': 1571}","  47 |     expect(trie.doesWordExist('car')).toEqual(true);
  48 |     expect(trie.doesWordExist('cart')).toBe(true);
> 49 |     expect(trie.doesWordExist('cat')).toBe(true);
     |    ^ Duplicate Assert
  50 |
  51 |     trie.deleteWord('cat');
  52 |     expect(trie.doesWordExist('car')).toEqual(true);"
